Year,School,School Type,Speaker/Performer/Title,Type of Expression,Controversy Topic(s),Source(s),Political Motives of Source(s),Petition For,Petition Against,Outcome,Reinvited/ Rescheduled/ Relocated?,Controversy Explanation,Public Response,Read More,fire_id
2010,McHenry County College,Community College,Marc Falkoff,Campus Speech,"Civil Liberties, Judiciary System, Terrorism","Activist(s), Anonymous, General Public",From the Right,No,No,Disinvitation Attempt,Not Applicable,"After the college revoked a past invitation to Falkoff due to security issues, Falkoff's rescheduled appearance caused controversy. Falkoff, again, received anonymous threats of violence against him and his family, but he spoke successfully.",None,[],65c1511279db8200391ea953
2010,Ohio Wesleyan University,Secular,John McCain,Commencement Speech,Immigration,Student(s),From the Left,No,No,Disinvitation Attempt,Not Applicable,Students protested the university's invitation of McCain to deliver a commencement speech because of McCain's support for an Arizona immigration law. McCain spoke successfully.,None,[],65c1511279db8200391ea95a
2010,Providence College,Religious,The Vagina Monologues,Performance,"Gender, Religion, Sexuality",Administrator(s),From the Right,No,No,Rejected,Not Applicable,"The college banned performances of the play, The Vagina Monologues, on campus in 2006 because ""its depiction of female sexuality is so deeply at odds with the true meaning and morality that the Catholic Church’s teaching celebrates."" Students performed the play off campus for the fourth year straight.",Unknown,[],65c1511279db8200391ea961
2010,Saint Louis University,Religious,Pietro Sambi,Commencement Speech,"Criminal or Other Misconduct, Sexuality",Student(s),From the Left,Yes,Yes,Disinvitation Attempt,Not Applicable,"Graduating seniors opposed Sambi's invitation to speak at commencement, claiming Sambi verbally ""attacked"" a gay pride festival and a clergy abuse victim. Sambi spoke successfully.","Supported Content of Expression. The university's Director of Communications statement included: ""During his time in the Middle East, Archbishop Sambi was also a passionate advocate for Catholics - a minority in that region of the world. He used his skills not only to aid his Church, but also to fight for the rights of all the Christian faithful to have access to the Holy Land.""",[],65c1511279db8200391ea968
2010,Seton Hall University School of Law,Religious,Chris Christie,Commencement Speech,Judiciary System,"Alumni, Faculty",From the Left,No,No,Disinvitation Attempt,Not Applicable,Some faculty and alumni opposed the university's invitation of Christie to deliver a commencement speech because of Christie's decision not to reappoint Associate Justice John Wallace to the state Supreme Court. Christie spoke successfully.,"Supported Speaker (or Artist) as a Person. The law school dean said: ""The school intends to go ahead with the graduation, as planned . . . .Our intention is not to politicize our graduation in any way.""",[],65c1511279db8200391ea96f
2010,Southwestern College,Community College,Drawing I,Artwork,Civil Liberties,Administrator(s),From the Right,No,No,Rejected,No,"Administrators rejected a student's drawing depicting three professors from the college's fourth annual Women’s History Month Street Painting Festival and Community Resource Fair, claiming it was ""controversial"" and did not fit into the ""theme"" of the festival.",None,[],65c1511279db8200391ea976
2010,"State University of New York, Oswego",Public,John McHugh,Commencement Speech,Sexuality,Student(s),From the Left,No,No,Withdrew,No,"Students opposed McHugh due to his support for ""Don't Ask, Don't Tell"" U.S. military policy. McHugh withdrew from delivering the commencement address, saying he didn't want the commencement ceremony to be disrupted.","Honor Roll, High Honors
Neutral. The university president said: ""People of good will hold diverse opinions on the issues that matter in our society. We are obligated to inform ourselves on the issues, to speak our minds with civility and to listen to opposing views with respect.""",[],65c1511279db8200391ea97d
2010,Syracuse University,Secular,Jamie Dimon,Commencement Speech,Class or Policy Issues,Student(s),From the Left,No,Yes,Disinvitation Attempt,Not Applicable,"Students wrote an op-ed and students and professors protested to try to get the university to choose a different commencement speaker, objecting to the fact that Dimon is a wealthy financier. Dimon spoke successfully.","Neutral. The university chancellor said: ""I fully understand these students' distress and I embrace their right to protest, however, [the university] is not rescinding Dimon's invitation.""",[],65c1511279db8200391ea984
2010,Tarleton State University,Public,Corpus Christi,Performance,"Religion, Sexuality","Faculty, General Public, Politician(s)",From the Right,No,No,Canceled,No,"A professor canceled four student-directed plays scheduled to take place on the same day after administrators received hundreds of emails and calls, some of them threatening, demanding that it cancel Corpus Christi, a play which depicts Jesus Christ as a gay man. The state's lieutenant governor also called on the university to cancel the performance.","Condemned Speaker (or Artist) as Person, Appeased Protesters, Encouraged (or Approved of) Self-Censorship.The university president said: ""As  a  public  university  we  are  legally  bound  to  allow  the  student  production to  go  forward. We  have  had  many  conversations  with  the  Office  of  General  Counsel  for  The  Texas  A&amp;M  University  System  and  they  have  made  it  clear  to  us  that  this  is  an  unambiguous  freedom  of  speech  (First  Amendment)  issue. . . . [But m]y personal reaction is that I see no artistic or redeeming quality in the work. I believe, as many have opined, that it is offensive, crude, and irreverent,"" he wrote. ""It is my sense that there are significant numbers of faculty, staff and students at Tarleton who share my views of the play. """,[],65c1511279db8200391ea98b
2010,Tarleton State University,Public,The Importance of Being Earnest,Performance,"Religion, Sexuality","Faculty, General Public, Politician(s)",From the Right,No,No,Canceled,No,"A professor canceled four student-directed plays scheduled to take place on the same day after university administrators received hundreds emails and calls, some of them threatening, demanding that it cancel Corpus Christi, a play which depicts Jesus Christ as a gay man. The state's lieutenant governor also called on the university to cancel the performance. The play, The Importance of Being Earnest, was also canceled despite the fact that it was not the target of the calls for cancellation.",None,[],65c1511279db8200391ea992
2010,University of Arizona,Public,Sandra Soto,Commencement Speech,Immigration,Student(s),From the Right,No,No,Attempted Disruption,Not Applicable,"Soto was heckled and jeered throughout her speech because of her criticism of the Arizona immigration law, with some students shouting at her to cut her hair. She finished her talk.",None,[],65c1511279db8200391ea999
2010,University of Arizona College of Law,Public,Ted Vogt,Campus Speech,Immigration,Student(s),From the Left,No,Yes,Disinvitation Attempt,Not Applicable,"Vogt, a third year law student, was voted by his classmates to be one of the commencement speakers that year. Vogt was then appointed to the Arizona State House of Representatives where he voted in favor of two controversial immigration bills that some law students considered racist. Law students started a petition to demand that Vogt step down as a commencement speaker. Vogt spoke successfully.","Neutral: The dean of the law school issued a statement: ""If he chooses, Mr. Vogt, as one of the two student-elected speakers, will address the class as planned. Others may choose to express their disapproval in some fashion.

In my judgment, there is no appropriate institutional position but to respect these choices, and we do. I would, however, encourage each of you (as I have the students with whom I have already spoken) to bear in mind, and be respectful of, the fundamental reason that we are joining together with your family and friends on May 15.""",[],65c1511279db8200391ea9a0
