Year,School,School Type,Speaker/Performer/Title,Type of Expression,Controversy Topic(s),Source(s),Political Motives of Source(s),Petition For,Petition Against,Outcome,Reinvited/ Rescheduled/ Relocated?,Controversy Explanation,Public Response,Read More,fire_id
2024,Georgetown University,Religious,Amy Jill-Levine,Campus Speech,"Gender, Sexuality",Activist(s),From the Right,No,Yes,Disinvitation Attempt,Not Applicable,"TFP Student Action, an off-campus organization, petitioned the university president to disinvite Jill-Levine from a summit on campus, hosted by James Martin, because of Martin's views on child transition and homosexuality, and because Jill-Levine is listed as a donor to Planned Parenthood and has argued that the Bible never condemned homosexuality.",None.,[],66df5d210e896202fff41ac2
2024,Georgetown University,Religious,William Hart McNichols,Campus Speech,"Gender, Sexuality",Activist(s),From the Right,No,Yes,Disinvitation Attempt,Not Applicable,"TFP Student Action, an off-campus organization, petitioned the university president to disinvite McNichols from a summit on campus, hosted by James Martin, because of Martin's views on child transition and homosexuality, and because of McNichols' ""blasphemous 'art'"" including a piece titled ""AIDS Crucifixion.""",None.,[],66df5d68ed8fe002a4b501f2
2024,Georgetown University,Religious,James Martin,Campus Speech,"Gender, Sexuality",Activist(s),From the Right,No,Yes,Disinvitation Attempt,Not Applicable,"TFP Student Action, an off-campus organization, petitioned the university president to disinvite Martin from hosting a summit on campus because of Martin's views on child transition and homosexuality.",None.,[],66df5dad02a974030754a84d
2024,University of South Carolina,Public,Gavin McInnes,Campus Speech,"Gender, Political Views, Race","Activist(s), Alumni, Politician(s), Student Group(s), Student(s)",From the Left,No,Yes,Disinvitation Attempt,Not Applicale,"The campus chapter of Uncensored America hosted a ""roast"" of Vice President, and current Democratic nominee for President, Kamala Harris and invited McInnes (and Milo Yiannopolous) to be the ""roastmasters."" Students, student groups, alumni, local politicians and the NAACP opposed the ""roast"" and demanded the university cancel the event because of McInnes' (and Yiannopolous') past history of ""racism,"" ""bigotry,"" ""misogyny,"" and ""white nationalism."" The ""roast"" was held successfully.","Honors.  The university issued an official statement: ""A hallmark of a college education is exposure to opinions and ideas that may be far from your own. In addition to the typical tabling events and campus speakers that students may find interesting or challenging, the election occurring this semester also offers opportunities for students to become civically engaged. Civic engagement helps students become responsible, educated citizens in local, national and global communities.  Like other public institutions, USC allows recognized student groups to invite speakers of their choosing to campus — even ones with whom many in our community would strongly disagree. These appearances in no way represent an endorsement by the university of any individual speaker’s message but should be viewed as our commitment to allowing constitutionally protected speech on campus. This longstanding tradition has resulted in a variety of campus speakers representing all sides of political and ethical thought — to see some of the diversity of upcoming events, visit our campus calendar.""  Full statement: https://www.sc.edu/uofsc/announcements/posts/2024/08/message-to-students-regarding-speakers-on-campus.php","['https://www.islandpacket.com/opinion/article291365180.html', 'https://www.postandcourier.com/columbia/education/usc-columbia-event-gavin-mcinnes-milo-yiannopoulos/article_a14734ea-60bf-11ef-aa7d-6369a6fce12e.html', 'https://x.com/Bakari_Sellers/status/1826682027040800811', 'https://events.eventnoire.com/e/cumala-usc/tickets', 'https://www.instagram.com/p/C-5ogjiOuVM/', 'https://scdailygazette.com/briefs/usc-criticized-for-student-event-featuring-proud-boys-founder-far-right-commentators/', 'https://www.sc.edu/uofsc/announcements/posts/2024/08/message-to-students-regarding-speakers-on-campus.php', 'https://www.thestate.com/news/local/education/article291487325.html', 'https://www.postandcourier.com/columbia/education/proud-boys-founder-usc-uofsc-kamala-roast/article_6c3f970a-6499-11ef-9457-079b77670f99.html', 'https://wach.com/news/local/naacp-condemns-kamala-harris-roast-at-usc', 'https://www.postandcourier.com/opinion/editorials/usc-hosts-vile-speakers/article_0e334222-6577-11ef-b43b-2b3001f68ab6.html', 'https://www.wistv.com/2024/08/31/proud-boys-founder-gavin-mcinnes-speaks-ahead-usc-comedy-roast-wis-exclusive-interview/', 'https://thehill.com/homenews/4860745-naacp-university-of-south-carolina-kamala-harris-roast/', 'https://www.thestate.com/news/local/education/article291942575.html']",66eda60e75eda902d6007116
2024,University of South Carolina,Public,Milo Yiannopolous,Campus Speech,"Gender, Political Views, Race","Activist(s), Alumni, Politician(s), Student Group(s), Student(s)",From the Left,No,Yes,Disinvitation Attempt,Not Applicable,"The campus chapter of Uncensored America hosted a ""roast"" of Vice President, and current Democratic nominee for President, Kamala Harris and invited McInnes (and Milo Yiannopolous) to be the ""roastmasters."" Students, student groups, alumni, local politicians and the NAACP opposed the ""roast"" and demanded the university cancel the event because of McInnes' (and Yiannopolous') past history of ""racism,"" ""bigotry,"" ""misogyny,"" and ""white nationalism."" The ""roast"" was held successfully.","Honors.  The university issued an official statement: ""A hallmark of a college education is exposure to opinions and ideas that may be far from your own. In addition to the typical tabling events and campus speakers that students may find interesting or challenging, the election occurring this semester also offers opportunities for students to become civically engaged. Civic engagement helps students become responsible, educated citizens in local, national and global communities.  Like other public institutions, USC allows recognized student groups to invite speakers of their choosing to campus — even ones with whom many in our community would strongly disagree. These appearances in no way represent an endorsement by the university of any individual speaker’s message but should be viewed as our commitment to allowing constitutionally protected speech on campus. This longstanding tradition has resulted in a variety of campus speakers representing all sides of political and ethical thought — to see some of the diversity of upcoming events, visit our campus calendar.""  Full statement: https://www.sc.edu/uofsc/announcements/posts/2024/08/message-to-students-regarding-speakers-on-campus.php","['https://www.islandpacket.com/opinion/article291365180.html', 'https://www.postandcourier.com/columbia/education/usc-columbia-event-gavin-mcinnes-milo-yiannopoulos/article_a14734ea-60bf-11ef-aa7d-6369a6fce12e.html', 'https://x.com/Bakari_Sellers/status/1826682027040800811', 'https://events.eventnoire.com/e/cumala-usc/tickets', 'https://www.instagram.com/p/C-5ogjiOuVM/', 'https://scdailygazette.com/briefs/usc-criticized-for-student-event-featuring-proud-boys-founder-far-right-commentators/', 'https://www.sc.edu/uofsc/announcements/posts/2024/08/message-to-students-regarding-speakers-on-campus.php', 'https://www.thestate.com/news/local/education/article291487325.html', 'https://www.postandcourier.com/columbia/education/proud-boys-founder-usc-uofsc-kamala-roast/article_6c3f970a-6499-11ef-9457-079b77670f99.html', 'https://wach.com/news/local/naacp-condemns-kamala-harris-roast-at-usc', 'https://www.postandcourier.com/opinion/editorials/usc-hosts-vile-speakers/article_0e334222-6577-11ef-b43b-2b3001f68ab6.html', 'https://www.wistv.com/2024/08/31/proud-boys-founder-gavin-mcinnes-speaks-ahead-usc-comedy-roast-wis-exclusive-interview/', 'https://thehill.com/homenews/4860745-naacp-university-of-south-carolina-kamala-harris-roast/', 'https://www.thestate.com/news/local/education/article291942575.html']",66edd744ccffae02f72a09b3
2024,"Brooklyn College, City University of New York",Public,Robert Malley,Campus Speech,Israeli-Palestinian Conflict,Administrator(s),From the Left,No,No,Revoked,No,"Malloy, the lead American negotiator on the Iran nuclear deal, was scheduled to speak at a Jewish Currents all day event. Two weeks before the event the college informed Jewish Currents about a leak in the main auditorium, one of the buidlings reserved, and canceled the entire event, including Malloy's speech.","Disingenuous.  A college spokesperson said that there were: ""no political considerations"""" involved in the cancellation and that """"the theater’s ceiling was compromised from a roof leak, undermining the safety of its occupancy.""","['https://x.com/JewishCurrents/status/1832136893422563511', 'https://www.jta.org/2024/09/11/ny/event-for-left-wing-magazine-jewish-currents-finds-a-new-home-after-public-complaints-over-cancellation', 'https://www.nytimes.com/2024/09/14/opinion/brooklyn-college-jewish-currents-gaza-war.html']",66edd7f8b1e164030cc97ef1
2024,"Brooklyn College, City University of New York",Public,Francesca Albanese,Campus Speech,Israeli-Palestinian Conflict,Administrator(s),From the Left,No,No,Revoked,No,"Albanese, the United Nations special rapporteur on the occupied Palestinian territories, was scheduled to speak at a Jewish Currents all day event. Two weeks before the event the college informed Jewish Currents about a leak in the main auditorium, one of the buidlings reserved, and canceled the entire event, including Albanese's speech.","Disingenuous.  A college spokesperson said that there were: ""no political considerations"""" involved in the cancellation and that """"the theater’s ceiling was compromised from a roof leak, undermining the safety of its occupancy.""","['https://x.com/JewishCurrents/status/1832136893422563511', 'https://www.jta.org/2024/09/11/ny/event-for-left-wing-magazine-jewish-currents-finds-a-new-home-after-public-complaints-over-cancellation', 'https://www.nytimes.com/2024/09/14/opinion/brooklyn-college-jewish-currents-gaza-war.html']",66edd84f6bce2202d4ac6fd2
2024,"Brooklyn College, City University of New York",Public,Jewish Currents Live,Performance,Israeli-Palestinian Conflict,Administrator(s),From the Left,No,No,Canceled,No,"Jewish Currents, an off-campus magazine, arranged to use multiple buildings at the college for a day long event featuring panel discussion and performances about politics and culture. Two weeks before the event the college informed Jewish Currents about a leak in the main auditorium, one of the buildings reserved, and canceled the entire event.","Disingenuous.  A college spokesperson said that there were: ""no political considerations"""" involved in the cancellation and that """"the theater’s ceiling was compromised from a roof leak, undermining the safety of its occupancy.""","['https://x.com/JewishCurrents/status/1832136893422563511', 'https://www.jta.org/2024/09/11/ny/event-for-left-wing-magazine-jewish-currents-finds-a-new-home-after-public-complaints-over-cancellation', 'https://www.nytimes.com/2024/09/14/opinion/brooklyn-college-jewish-currents-gaza-war.html']",66edd8f7e42e9402f53a4684
2024,Johns Hopkins University,Secular,Mark Krikorian,Campus Speech,Immigration,Student(s),From the Left,No,No,Substantial Event Disruption,No,"The campus chapter of the Young American Foundation and the College Republicans invited Krikorian, the Executive Director of the Center for Immigration Studies, to campus for a speech about immigration followed by a Q&amp;A. Less than ten minutes into Krikorian's speech masked protestors in the audience used their phones to set off alarms and other sounds. Some protesters began shouting over Krikorian demanding he address their questions and calling him a ""racist"" and a ""bigot"" as Krikorian contiued speaking. Associate Vice Provost for Student Engagement and Dean of Students asked the protestors to demnstrate against Krikorian's speech in a less disruptive manner, but this request was refused. Protestors also used stink sprays to fill the room with an unpleasant odor. Eventually YAF decided to end the event early so Krikorian could speak with interested students outside the room.",None.,"['https://www.instagram.com/p/C_tRQ5oyu81/?img_index=1', 'https://yaf.org/news/johns-hopkins-university-spinelessly-allows-leftist-disruptors-to-derail-yaf-lecture-on-immigration-crisis/', 'https://www.jhunewsletter.com/article/2024/09/mark-krikorian-speaks-at-yaf-event-disrupted-by-protestors-calling-for-event-cancellation', 'https://www.instagram.com/p/C-6QQn2SB7n/?img_index=1']",66edd94a9c75870312fb145f
2024,Middle Tennessee State University,Public,Mike Pence,Campus Speech,"Abortion, Gender, Immigration, Israeli-Palestinian Conflict, Political Views, Sexuality",Student Group(s),From the Left,No,No,Disinvitation Attempt,Not Applicable,"Multiple student groups, including the Young Democratic Socialists of America and MT Lambda, issued statements on social media opposing Pence's invitation to speak on Consitution Day at the Honors College on campus. YDS and MT Lambda objected to Pence because of his ""authoritarian"" and ""anti-democratic"" views, his ties to pro-Israel individuals and groups, for being ""a puppet of big oil and the military-industrial complex,"" his work on Project 2025, his support for voter ID laws, his opposition to same-sex marriage, his support for the ""Don't Say Gay"" law, and his ""signaled"" support for the overturning of Roe v. Wad,  Chevron, and extensive measures targeting the queer community."" Pence spoke successfully.","Honors.  The university president said: ""MTSU throughout the years has hosted speakers representing a wide spectrum of beliefs, perspectives and points of view. I have long held that providing a welcoming environment for the free expression of ideas is essential for preparing students to become successful scholars, engaged citizens and well-rounded human beings.""","['https://www.tennessean.com/story/news/politics/2024/09/16/mike-pence-mtsu-speech-student-pushback/75206858007/', 'https://www.yahoo.com/news/ex-vp-mike-pence-speak-100506898.html?guccounter=1', 'https://mtsusidelines.com/2024/09/12/former-vice-president-mike-pences-visit-to-mtsu-sparks-controversy-among-students/', 'https://www.instagram.com/p/C_lopoZSKuh/?img_index=1', 'https://www.instagram.com/p/C-83P3AyF5F/?img_index=1']",66edda409c75870312fb20cd
